scenario,ssp585,ssp585,ssp585,ssp585,ssp585,ssp370,ssp370,ssp370,ssp370,ssp370,ssp245,ssp245,ssp245,ssp245,ssp126,ssp126,ssp126
ensMem,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r1i1p1f2,r3i1p1f2,r4i1p1f2
time,,,,,,,,,,,,,,,,,
1904-08-16 12:00:00,285.307404196109,285.5096443502465,285.49139085840017,285.6430741192795,285.5077766799084,285.307404196109,285.5096443502465,285.49139085840017,285.6430741192795,285.5077766799084,285.307404196109,285.5096443502465,285.49139085840017,285.6430741192795,285.307404196109,285.49139085840017,285.6430741192795
1904-09-16 00:00:00,284.3325318689808,284.5764664867032,284.6649184909304,284.4843665254764,284.51606838743373,284.3325318689808,284.5764664867032,284.6649184909304,284.4843665254764,284.51606838743373,284.3325318689808,284.5764664867032,284.6649184909304,284.4843665254764,284.3325318689808,284.6649184909304,284.4843665254764
1904-10-16 12:00:00,283.2012795136162,283.15931340164855,283.5078309942202,283.45824977618236,283.16764855849476,283.2012795136162,283.15931340164855,283.5078309942202,283.45824977618236,283.16764855849476,283.2012795136162,283.15931340164855,283.5078309942202,283.45824977618236,283.2012795136162,283.5078309942202,283.45824977618236
1904-11-16 00:00:00,281.86242220124007,282.1160552783791,282.1547639387204,282.2618908671799,282.34736437560366,281.86242220124007,282.1160552783791,282.1547639387204,282.2618908671799,282.34736437560366,281.86242220124007,282.1160552783791,282.1547639387204,282.2618908671799,281.86242220124007,282.1547639387204,282.2618908671799
1904-12-16 12:00:00,281.1086480926715,281.225897266878,281.1411878474216,281.4829763265187,281.6975851136459,281.1086480926715,281.225897266878,281.1411878474216,281.4829763265187,281.6975851136459,281.1086480926715,281.225897266878,281.1411878474216,281.4829763265187,281.1086480926715,281.1411878474216,281.4829763265187
1905-01-16 12:00:00,280.89316608123147,281.1372382053529,281.2969310432212,281.392591629451,281.6424410855491,280.89316608123147,281.1372382053529,281.2969310432212,281.392591629451,281.6424410855491,280.89316608123147,281.1372382053529,281.2969310432212,281.392591629451,280.89316608123147,281.2969310432212,281.392591629451
1905-02-15 00:00:00,281.0057689486509,281.24311519839847,281.41510869079923,281.40216242013526,281.3651295396121,281.0057689486509,281.24311519839847,281.41510869079923,281.40216242013526,281.3651295396121,281.0057689486509,281.24311519839847,281.41510869079923,281.40216242013526,281.0057689486509,281.41510869079923,281.40216242013526
1905-03-16 12:00:00,281.54631691270174,282.0602023062169,281.6490806767832,281.9544108978873,281.855076302875,281.54631691270174,282.0602023062169,281.6490806767832,281.9544108978873,281.855076302875,281.54631691270174,282.0602023062169,281.6490806767832,281.9544108978873,281.54631691270174,281.6490806767832,281.9544108978873
1905-04-16 00:00:00,282.68493532696044,283.01046403054045,282.7959464384286,282.95300928643235,282.8188461217423,282.68493532696044,283.01046403054045,282.7959464384286,282.95300928643235,282.8188461217423,282.68493532696044,283.01046403054045,282.7959464384286,282.95300928643235,282.68493532696044,282.7959464384286,282.95300928643235
1905-05-16 12:00:00,283.6137471960221,284.2127957136403,284.0210055068695,284.1777845595477,284.0351439606536,283.6137471960221,284.2127957136403,284.0210055068695,284.1777845595477,284.0351439606536,283.6137471960221,284.2127957136403,284.0210055068695,284.1777845595477,283.6137471960221,284.0210055068695,284.1777845595477
1905-06-16 00:00:00,284.81640707932456,285.29398021923475,285.1158128646477,285.2882209497308,285.286255145808,284.81640707932456,285.29398021923475,285.1158128646477,285.2882209497308,285.286255145808,284.81640707932456,285.29398021923475,285.1158128646477,285.2882209497308,284.81640707932456,285.1158128646477,285.2882209497308
1905-07-16 12:00:00,285.3748284587606,285.9415034259928,285.6145906278781,285.7881390176085,285.57258492239566,285.3748284587606,285.9415034259928,285.6145906278781,285.7881390176085,285.57258492239566,285.3748284587606,285.9415034259928,285.6145906278781,285.7881390176085,285.3748284587606,285.6145906278781,285.7881390176085
1905-08-16 12:00:00,285.2705296416334,285.53511824665054,285.38506164641194,285.487616794314,285.2941716890833,285.2705296416334,285.53511824665054,285.38506164641194,285.487616794314,285.2941716890833,285.2705296416334,285.53511824665054,285.38506164641194,285.487616794314,285.2705296416334,285.38506164641194,285.487616794314
1905-09-16 00:00:00,284.36387998615857,284.5337352207056,284.49046888019654,284.585165867552,284.5135280096166,284.36387998615857,284.5337352207056,284.49046888019654,284.585165867552,284.5135280096166,284.36387998615857,284.5337352207056,284.49046888019654,284.585165867552,284.36387998615857,284.49046888019654,284.585165867552
1905-10-16 12:00:00,283.038537913491,283.1982272694398,283.2706551423968,283.4052232701838,283.3084224254542,283.038537913491,283.1982272694398,283.2706551423968,283.4052232701838,283.3084224254542,283.038537913491,283.1982272694398,283.2706551423968,283.4052232701838,283.038537913491,283.2706551423968,283.4052232701838
1905-11-16 00:00:00,282.01024692178447,281.85347761905064,282.1639821536475,282.0763313584672,282.1180611893982,282.01024692178447,281.85347761905064,282.1639821536475,282.0763313584672,282.1180611893982,282.01024692178447,281.85347761905064,282.1639821536475,282.0763313584672,282.01024692178447,282.1639821536475,282.0763313584672
1905-12-16 12:00:00,281.25587847803047,281.22676225593926,281.56837848812506,281.2679092799019,281.54903567889596,281.25587847803047,281.22676225593926,281.56837848812506,281.2679092799019,281.54903567889596,281.25587847803047,281.22676225593926,281.56837848812506,281.2679092799019,281.25587847803047,281.56837848812506,281.2679092799019
1906-01-16 12:00:00,281.2183521161202,280.93528951177666,281.57395728183724,281.0544952726053,281.382746200819,281.2183521161202,280.93528951177666,281.57395728183724,281.0544952726053,281.382746200819,281.2183521161202,280.93528951177666,281.57395728183724,281.0544952726053,281.2183521161202,281.57395728183724,281.0544952726053
1906-02-15 00:00:00,281.3748956528123,280.74381354828085,281.44372991884165,281.3142065482434,281.3175744807738,281.3748956528123,280.74381354828085,281.44372991884165,281.3142065482434,281.3175744807738,281.3748956528123,280.74381354828085,281.44372991884165,281.3142065482434,281.3748956528123,281.44372991884165,281.3142065482434
1906-03-16 12:00:00,281.53739969052754,281.3882899953128,281.9014203718191,282.127876502925,281.7882102317107,281.53739969052754,281.3882899953128,281.9014203718191,282.127876502925,281.7882102317107,281.53739969052754,281.3882899953128,281.9014203718191,282.127876502925,281.53739969052754,281.9014203718191,282.127876502925
1906-04-16 00:00:00,282.83987120553275,282.57712785889305,282.8248702990352,282.87450807116466,282.9074620142557,282.83987120553275,282.57712785889305,282.8248702990352,282.87450807116466,282.9074620142557,282.83987120553275,282.57712785889305,282.8248702990352,282.87450807116466,282.83987120553275,282.8248702990352,282.87450807116466
1906-05-16 12:00:00,283.792750102288,283.72373270094005,284.11374213433055,284.28107372404827,284.1149482908677,283.792750102288,283.72373270094005,284.11374213433055,284.28107372404827,284.1149482908677,283.792750102288,283.72373270094005,284.11374213433055,284.28107372404827,283.792750102288,284.11374213433055,284.28107372404827
1906-06-16 00:00:00,285.28086354947743,284.9116747495682,285.4408638171917,285.39788085526953,285.2564683848732,285.28086354947743,284.9116747495682,285.4408638171917,285.39788085526953,285.2564683848732,285.28086354947743,284.9116747495682,285.4408638171917,285.39788085526953,285.28086354947743,285.4408638171917,285.39788085526953
1906-07-16 12:00:00,285.771605884727,285.4279235448304,285.93553656582685,285.8313377431632,285.7289128658423,285.771605884727,285.4279235448304,285.93553656582685,285.8313377431632,285.7289128658423,285.771605884727,285.4279235448304,285.93553656582685,285.8313377431632,285.771605884727,285.93553656582685,285.8313377431632
1906-08-16 12:00:00,285.5991603735504,285.2561332382045,285.4478333153073,285.4787148602279,285.78807136408443,285.5991603735504,285.2561332382045,285.4478333153073,285.4787148602279,285.78807136408443,285.5991603735504,285.2561332382045,285.4478333153073,285.4787148602279,285.5991603735504,285.4478333153073,285.4787148602279
1906-09-16 00:00:00,284.5810749327885,284.26846355084103,284.7853409429189,284.6825412965237,284.7962429036603,284.5810749327885,284.26846355084103,284.7853409429189,284.6825412965237,284.7962429036603,284.5810749327885,284.26846355084103,284.7853409429189,284.6825412965237,284.5810749327885,284.7853409429189,284.6825412965237
1906-10-16 12:00:00,283.3812177134764,283.2183246030069,283.36114647178704,283.1619076325361,283.457193387171,283.3812177134764,283.2183246030069,283.36114647178704,283.1619076325361,283.457193387171,283.3812177134764,283.2183246030069,283.36114647178704,283.1619076325361,283.3812177134764,283.36114647178704,283.1619076325361
1906-11-16 00:00:00,282.2285810471103,281.6856721230069,282.2289008070021,282.3096868357894,282.50518252609146,282.2285810471103,281.6856721230069,282.2289008070021,282.3096868357894,282.50518252609146,282.2285810471103,281.6856721230069,282.2289008070021,282.3096868357894,282.2285810471103,282.2289008070021,282.3096868357894
1906-12-16 12:00:00,281.46666648016503,281.0194400029127,281.57274701114363,281.75205947930095,281.6597108959752,281.46666648016503,281.0194400029127,281.57274701114363,281.75205947930095,281.6597108959752,281.46666648016503,281.0194400029127,281.57274701114363,281.75205947930095,281.46666648016503,281.57274701114363,281.75205947930095
1907-01-16 12:00:00,281.5176190380863,280.64679552789926,281.48266920785204,281.62183648879187,281.6617717700182,281.5176190380863,280.64679552789926,281.48266920785204,281.62183648879187,281.6617717700182,281.5176190380863,280.64679552789926,281.48266920785204,281.62183648879187,281.5176190380863,281.48266920785204,281.62183648879187
1907-02-15 00:00:00,281.49826155347125,280.9345416688701,281.5709373551099,281.30456597354714,281.7576268252619,281.49826155347125,280.9345416688701,281.5709373551099,281.30456597354714,281.7576268252619,281.49826155347125,280.9345416688701,281.5709373551099,281.30456597354714,281.49826155347125,281.5709373551099,281.30456597354714
1907-03-16 12:00:00,281.9415632368905,281.7085926402475,282.0066287950626,281.89354538506365,282.2136211917302,281.9415632368905,281.7085926402475,282.0066287950626,281.89354538506365,282.2136211917302,281.9415632368905,281.7085926402475,282.0066287950626,281.89354538506365,281.9415632368905,282.0066287950626,281.89354538506365
1907-04-16 00:00:00,282.733615237734,282.68535170203955,282.9785889954388,283.14257553822506,282.8911558576271,282.733615237734,282.68535170203955,282.9785889954388,283.14257553822506,282.8911558576271,282.733615237734,282.68535170203955,282.9785889954388,283.14257553822506,282.733615237734,282.9785889954388,283.14257553822506
1907-05-16 12:00:00,284.2649219423378,283.7794921632978,284.1755847218602,284.30717588380594,284.19774005233603,284.2649219423378,283.7794921632978,284.1755847218602,284.30717588380594,284.19774005233603,284.2649219423378,283.7794921632978,284.1755847218602,284.30717588380594,284.2649219423378,284.1755847218602,284.30717588380594
1907-06-16 00:00:00,285.31323652498645,284.921139731727,285.2231951702544,285.521004082828,285.53437178477304,285.31323652498645,284.921139731727,285.2231951702544,285.521004082828,285.53437178477304,285.31323652498645,284.921139731727,285.2231951702544,285.521004082828,285.31323652498645,285.2231951702544,285.521004082828
1907-07-16 12:00:00,285.7956575669731,285.2315566319523,285.64692116100593,286.01633846179914,285.8744481463678,285.7956575669731,285.2315566319523,285.64692116100593,286.01633846179914,285.8744481463678,285.7956575669731,285.2315566319523,285.64692116100593,286.01633846179914,285.7956575669731,285.64692116100593,286.01633846179914
